metabolite,log2FC,pval,padj
Dihomo-gamma-linolenic acid,0.7234168269879788,3.2024285464101626e-06,0.00029622464054294
"7Z,10Z,13Z,16Z-Docosatetraenoic acid",0.5197600912111255,2.016244573032009e-06,0.00029622464054294
"11Z,14Z,17Z-Eicosatrienoic acid",0.5164545953642072,5.55483604463994e-06,0.00034254822275279627
Palmitic acid,0.3464611739249417,1.3249307339475614e-05,0.0006127804644507471
Palmitoleic acid,0.603293716638257,1.8473509377825924e-05,0.0006835198469795591
Palmitelaidic acid,1.058659712091945,2.385016912072542e-05,0.0007353802145557005
10Z-Heptadecenoic acid,1.015783160452366,0.00010556572537645608,0.002789951313520625
Arachidonic acid,0.3265735178179092,0.00024028383939850612,0.005556563786090454
Taurolithocholic acid (TLCA),-0.10777516158184239,0.0006277357712159925,0.011121963855467399
Oleic acid,0.3111964120049091,0.0005593918640626857,0.011121963855467399
Linoleic acid,0.3117660550606285,0.0007358844223678312,0.011121963855467399
"4Z,7Z,10Z,13Z,16Z,19Z-Docosahexaenoic acid (DHA)",0.4188774658441119,0.0008416621296029383,0.011121963855467399
10E-Heptadecenoic acid,0.8047895339643709,0.0008188998153644009,0.011121963855467399
Linoelaidic acid,0.3154376305015205,0.0007389117070548244,0.011121963855467399
Myristic acid,0.36219630242839873,0.001132960052243972,0.013973173977675654
3-Methyl-2-oxobutanoic acid,0.19493787128887163,0.0013243371210061316,0.015312647961633397
Gamma-Linolenic acid,0.5479218654662343,0.0023560380284872564,0.024094303187399493
3-Methyl-2-oxovaleric acid,0.22388476682064606,0.0024563658220208232,0.024094303187399493
Glutamyltryptophan,0.14180212845773488,0.0024745500570842725,0.024094303187399493
Valerylcarnitine,0.441703447577404,0.004005175256147606,0.037047871119365354
gamma-Glutamyl-phenylalanine,0.24398996775038473,0.0042716391182934755,0.037631106518299665
Epinephrine,-0.15336800342287987,0.004796016121104345,0.040330135563831984
"4Z,7Z,10Z,13Z,16Z-Docosapentaenoic acid",0.4509051599863021,0.00528181617469588,0.04248417357907556
3-Hydroxyanthranilic acid,0.3214467705632065,0.0061986948558519885,0.047781606180525744
"5,6-Dimethylbenzimidazole",0.012719375238189168,0.006924343264583786,0.051240140157920014
"13Z,16Z-Docosadienoic acid",0.6099846541920666,0.007378377657423138,0.05249999487012617
Isovalerylcarnitine,0.4090829805119185,0.008230941969053768,0.055836825615083144
Adipic acid,0.18022110135544578,0.008752799691013034,0.055836825615083144
Conjugated linoleic acids (CLA),0.18607127515139332,0.008629411571439257,0.055836825615083144
Glycolithocholic acid (GLCA),-0.3174948016621628,0.009706811247020946,0.05985866935662917
N-Acetylmethionine,0.24368281126188407,0.011793564202790202,0.07038094766181249
Lipoamide,0.17587420178413427,0.013752352402536276,0.07913047230614265
Sphinganine,0.04632564009245885,0.014115165330284906,0.07913047230614265
3-Indolepropionic acid,-0.9257066304066672,0.014964201464977938,0.08142286091237995
Aspartylphenylalanine,0.17721025490805664,0.015502095888228278,0.08193964969492089
Ethyl 3-indoleacetate,-0.09784212140770115,0.01919295900295314,0.09863048376517586
Indole-3-lactic acid,0.44600940243200693,0.020044832148924895,0.09888040286818502
Ortho-Hydroxyphenylacetic acid,0.21246314630158025,0.020310569237789355,0.09888040286818502
Methylglutaric acid,0.153734588920869,0.022060487996255408,0.1046459045976218
Melatonine,0.020086949669606682,0.025223326921721096,0.11665788701296007
Stearic acid,0.26608504154078183,0.02872840025814446,0.12962814750626156
Salicyluric acid,0.5377216053006584,0.03131299828112301,0.1379263019525656
Nordeoxycholic acid (NorDCA),0.35582850884903294,0.03431853331562714,0.14764950379979117
1-Oleylglycerol,1.3462778449297481,0.03674355461215094,0.15121003243925465
Norepinephrine,0.1391994452270957,0.03723440856649011,0.15121003243925465
Indoleacrylic acid,-0.46263524618394847,0.037598170228138994,0.15121003243925465
Tauro-Â¦Ã-muricholic acid (Â¦Ã-TMCA),-0.2906523460210926,0.041174860310931295,0.15545610525555692
Oleylcarnitine,0.3860482417860229,0.04108559874400563,0.15545610525555692
Butyrylcarnitine,0.24112993038621955,0.04115522094295109,0.15545610525555692
Vanillin,-1.1094417309208318,0.04710008372505038,0.16554584531141942
3-Dehydrocholic acid (3-DHCA),-0.18237579264863646,0.0483214899827927,0.16554584531141942
N-Formyl-methionine,0.10361822944619004,0.04538274361514756,0.16554584531141942
Pentadecanoic acid,0.28418378051719095,0.04595576670900641,0.16554584531141942
Tauro-Â¦Ã-muricholic acid (Â¦Ã-TMCA),-0.2771052268532457,0.04784661320092265,0.16554584531141942
Lumichrome,0.26826750735476734,0.049956689430932816,0.16722718055179703
11Z-Eicosenoic acid,0.360191252512978,0.05062011951838181,0.16722718055179703
Tauro-Â¦Ã-muricholic acid (Â¦Ã-TMCA),-0.29328527020976547,0.05176199059803553,0.16799944316906268
Alpha-Linolenic acid,0.4590254165274743,0.05424494414431081,0.17302266666719826
2-Hydroxyphenethylamine,0.2869185580781819,0.055445153027160764,0.17385344593262272
Oleoylethanolamide,0.0970691858719564,0.058541790113464755,0.18050385284984966
3-Hydroxyphenylacetic acid,0.3041525858187124,0.06086096315756154,0.18160126103465943
Phenol,-0.11627633044914099,0.060764781868527934,0.18160126103465943
Indoleacetic acid,0.2905773113672332,0.06405988380572847,0.18811235720729788
Phthalic acid,0.08934217598732275,0.07506843971067097,0.21699470853865827
Linoleyl carnitine,0.30481469627834556,0.08056220476798168,0.22929242895502475
Xanthurenate,0.22227184041041692,0.0820908771847711,0.2301032163512523
N-Acetylphenylalanine,-0.16115056424706742,0.08440881712611124,0.2330691219153818
Sebacic acid,0.34009616092528905,0.08796306552981983,0.23931128122083337
Stearylcarnitine,0.5812100320596327,0.09002090489268488,0.240608638816308
Tetradecanoylcarnitine,0.24222650387661027,0.09104110657914358,0.240608638816308
Hexanoylcarnitine,0.3754347554858013,0.10173750225976537,0.2649143591920909
Chlorogenic acid,-0.03981277439793779,0.10425539953118802,0.2649143591920909
